STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,STEMERG2,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FMENDVAX,FMVAX,FMHIGH,FM_END,FM_END2,FMNOW,FM_STP,FMLOCAL,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CANNABIS,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLHAIR2,END_CLMV2,CLBAR3,CLRST3,END_CLBAR3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,80DATE,75DATE,70DATE,65DATE,60DATE,55DATE,50DATE,45DATE,40DATE,30DATE,K12DATE,GROCERYDATE,INCDATE,PUBDATE,AGEPRIORITY,RACEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,EMNOW,INITIATIONBANSTART,INITIATIONBANEND,INITIATIONBANSTART2,INITIATIONBANEND2,HEARINGBANSTART,HEARINGBANEND,HEARINGBANSTART2,HEARINGBANEND2,ENFORCEBANSTART,ENFORCEBANEND,ENFORCEBANSTART2,ENFORCEBANEND2,C19START,C19END,C19START2,C19END2,PAYSTART,PAYEND,PAYSTART2,PAYEND2,CARESSTART,CARESEND,CDCSTART,CDCEND,LATESTART,LATEEND,LATESTART2,LATEEND2,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPEBTSUMMER,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOVISIT2,VISITRES2,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDURJAN20,UIMAXDURJUL20,UIMAXDUR21,EBSTART,EBEND,EBSTART2,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,20EBSTART2,UIEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,OSHA,STATEDEPT,AEROSOL,VENTILATION,SICKLEAVE19,SICKLEAVE20,RETALIATION,LIABILITY,HCLIABILITY,GOVLIABILITY,WORKERSCOMP,WORKERTYPE,WORKREPORTING,WORKMISSED,WORKINJURY,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGEJAN2019,MINWAGEMAR2019,MINWAGEJUL2019,MINWAGEOCT2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
Alabama,AL,1,2020-03-13,2021-07-06,,2020-03-20,2020-03-20,2020-05-23,2020-03-19,2020-04-04,,2020-04-30,2020-03-28,,2020-04-30,False,2020-07-16,,False,False,True,2020-05-11,2021-04-09,,,2021-04-09,,False,,,True,2020-03-24,2020-03-24,True,True,2020-03-19,2020-05-11,False,2020-03-28,2020-05-11,2020-03-28,2020-05-22,2020-03-19,2020-05-11,2020-05-11,2020-05-11,2020-04-30,,,,,,,,,,,,,,,,,,,,2021-03-22,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,2021-01-18,2021-01-18,2021-02-08,2021-02-08,2021-03-22,2021-03-22,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-02-08,2021-02-08,2021-04-12,2021-04-05,False,False,True,True,False,True,False,2020-04-03,2020-06-01,,,,,False,,,,,,,,,2020-04-03,2020-06-01,,,,,,,2020-05-08,2020-06-01,,,,,,,,,,,,,,,,2020-03-24,2020-04-21,,,,False,2020-03-23,,False,2020-03-22,2020-03-16,False,False,False,True,False,True,True,False,False,False,False,True,2020-03-13,2020-03-13,,,,False,False,True,False,2020-03-19,2020-04-30,,,,False,2020-03-16 00:00:00.000000000,True,True,True,True,False,False,False,275.0,875.0,14,14,14,2020-05-31,2020-09-26,,7.0,250.0,175.0,,,,2021-06-19,2340.0,2,780.0,False,300.0,8000.0,0.65,6.8,250.77,True,False,False,False,False,False,False,True,True,True,False,False,False,3.0,True,True,,,,2020-03-20,,,False,93.24,4887871,52420.0,3261,5.6,16.8,43.1,54352,100.7,True,True,False,True,False,False,False,2020-10-29,2020-03-28,2020-05-22,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,False
Alaska,AK,2,2020-03-11,2021-04-30,,2020-03-16,,,,2020-03-28,,2020-04-24,2020-03-24,,2020-04-24,False,2020-04-24,,True,True,False,2020-04-24,2021-05-22,,,2020-05-22,,False,,,True,2020-03-17,2020-03-17,True,True,2020-03-18,2020-04-24,False,2020-03-18,2020-05-08,2020-03-18,2020-05-08,2020-03-18,2020-05-08,2020-04-24,2020-05-08,2020-04-24,,,,,,,,,,,,,,,,,,2020-03-25,2021-02-14,2021-03-03,1A,1A,1A,1A,1A,1A,1C,1C,1B,1B,1B,1B,1B,1C,1B,1C,1C,1C,1C,1C,1C,2,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-03-03,2021-03-03,2021-03-09,2021-03-09,2021-03-09,2021-03-09,2021-02-11,2021-03-03,2021-02-11,2021-03-09,True,False,False,False,False,False,False,2020-03-23,2020-07-01,,,,,False,2020-04-10,2020-07-01,,,2020-03-23,2020-04-24,,,,,,,2020-04-10,2020-07-01,,,2020-04-10,2020-07-01,,,,,2020-09-04,,,,,,,,,,,2020-04-01,2020-06-05,,,,True,2020-04-02,,False,2020-03-17,2020-03-20,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-13,2020-03-13,2021-03-17,,,False,True,False,False,2020-03-19,2020-04-20,,,,False,2020-03-18 00:00:00.000000000,True,True,False,True,False,True,False,370.0,970.0,26,26,26,2020-05-03,,,,,,2020-07-05,2020-12-12,,2021-06-12,2500.0,2,250.0,False,13636.36,41500.0,1.0,5.4,443.23,True,True,False,False,False,False,False,False,True,True,True,True,True,,True,True,,,,,,,True,1.11,737438,665384.0,1907,6.8,10.9,32.8,4453,429.9,False,True,False,True,False,False,True,2020-10-24,,,,,False,9.89,9.89,9.89,9.89,10.19,10.19,10.19,10.19,10.19,10.34,False
Arizona,AZ,4,2020-03-11,,,2020-03-16,,,,2020-03-31,,2020-05-16,2020-03-31,,2020-05-08,True,,,False,False,True,2020-05-08,2021-03-25,,,2021-03-25,,False,2020-03-30,2021-03-25,True,2020-03-19,2020-03-19,True,True,2020-03-21,2020-05-11,False,2020-03-21,2020-05-13,2020-03-21,2020-05-16,2020-03-21,2020-05-16,2020-05-08,,2020-05-08,,2020-06-29,2020-06-29,2020-06-29,,2020-06-29,,,2021-03-25,2021-03-05,,2021-03-05,,,,,2020-04-09,,2020-05-12,2021-04-05,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1C,1B,1B,1B,1B,1B,1B,2,2,2021-01-08,2021-01-08,2021-01-19,2021-01-19,2021-03-02,2021-03-02,2021-03-24,2021-03-24,2021-03-24,2021-03-24,2021-01-08,2021-03-24,2021-03-24,2021-03-24,True,False,True,True,False,True,False,2020-03-24,2020-10-31,,,,,False,,,,,,,,,2020-03-24,2020-10-31,,,2020-03-24,2020-10-31,,,,,,,2020-07-07,,2020-09-04,,,,,,,,,,,2020-04-01,2020-04-17,2021-02-25,,,True,2020-03-23,,False,2020-03-25,2020-03-25,True,True,False,True,True,True,True,False,True,True,True,True,2020-03-13,2020-03-13,2021-06-19,,,False,True,False,False,2020-03-21,2020-05-01,,,,False,2020-03-20 00:00:00.000000000,True,True,True,True,True,True,False,240.0,840.0,26,26,26,2020-06-14,2020-12-12,,6.9,150.0,147.0,,,,2021-07-10,7020.0,2,2340.0,False,300.0,7000.0,0.05,12.85,237.99,True,True,False,False,True,False,False,True,True,True,False,False,True,,True,False,,,,,2020-03-11,,True,62.91,7171646,113990.0,10007,5.4,14.0,39.1,59282,132.9,True,True,False,False,False,False,False,2020-10-23,,,,,False,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,9.0,12.15,False
Arkansas,AR,5,2020-03-11,2021-05-30,2021-07-29,2020-03-17,,,2020-03-13,,,,2020-04-06,2020-11-19,2020-05-04,False,2020-07-20,,True,True,False,2020-05-11,2021-03-30,,,2021-03-30,,False,2021-03-30,,True,2020-03-19,2020-03-19,True,False,2020-03-20,2020-05-11,False,2020-03-20,2020-05-04,2020-03-20,2020-05-18,2020-03-20,2020-05-19,2020-05-06,,2020-05-18,2021-01-03,,,,,,,,,,,,,,,,2020-05-05,,2020-06-15,2021-01-12,1A,1A,1A,1A,1A,1A,1A,1A,1B,1C,1C,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,2021-01-18,2021-01-18,2021-01-18,2021-02-23,2021-03-30,2021-03-30,2021-03-30,2021-03-30,2021-03-30,2021-03-30,2021-01-18,2021-03-08,2021-03-16,2021-03-30,True,False,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,2020-04-28,2020-07-25,,,,,,,2020-04-10,2021-05-03,,2020-04-10,2021-05-03,2020-03-24,2020-05-21,,,,False,2020-04-02,,False,2020-03-13,2020-03-13,False,False,False,True,False,True,True,False,True,False,True,True,2020-03-16,2020-03-16,2021-06-12,,,False,True,False,False,2020-04-03,2020-04-27,,,,False,2020-03-17 00:00:00.000000000,True,True,True,True,False,False,False,451.0,1051.0,16,16,16,2020-05-31,2020-10-17,,7.5,208.0,208.0,,,,2021-06-26,2835.0,2,1.0,False,31200.0,7000.0,0.1,6.0,223.84,True,False,False,False,False,False,False,True,True,True,True,True,True,,True,True,,,,,,,True,56.67,3013825,53179.0,2717,4.5,17.2,43.5,32336,231.6,True,False,False,False,False,False,False,2020-10-27,2020-03-17,2020-05-18,,,False,9.25,9.25,9.25,9.25,10.0,10.0,10.0,10.0,2.63,11.0,True
California,CA,6,2020-03-04,,,2020-03-23,,,,2020-03-19,,2021-01-25,2020-03-19,2020-11-21,2020-05-08,False,2020-06-18,,False,False,True,2020-05-05,2021-06-15,,,,,True,,,True,2020-03-19,2020-03-19,False,True,2020-03-16,2020-05-18,False,2020-03-19,2021-04-15,2020-03-19,2021-04-15,2020-03-16,2021-06-15,2020-08-28,2020-05-25,2020-05-08,2021-01-25,,,,,,2020-07-13,2021-04-15,,,,,,,,,,,,2021-03-25,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1C,1B,1B,1B,1B,1B,1B,2,2,2021-01-13,2021-01-13,2021-01-13,2021-01-13,2021-04-01,2021-04-01,2021-04-01,2021-04-15,2021-04-15,2021-04-15,2021-03-01,2021-03-01,2021-03-15,2021-04-15,True,False,False,False,False,True,True,2020-03-27,,,,,,True,2020-10-05,,,,2020-04-06,2020-10-04,,,2020-03-27,2020-06-01,,,2020-03-27,2020-06-01,2020-10-05,,2020-03-27,2020-06-01,2020-08-31,,,,,,,,,,2020-03-04,,,2020-03-04,,2020-03-30,2020-04-23,,,,True,2020-03-23,2020-03-20,False,2020-03-30,2020-03-18,False,False,True,True,False,True,True,True,True,False,True,True,2020-03-11,2020-04-08,2021-04-10,,,True,False,False,False,2020-03-19,2020-04-22,,,,False,2020-03-12 00:00:00.000000000,False,True,False,True,True,False,False,450.0,1050.0,26,26,26,2020-05-10,,,,,,2020-06-07,,,,1125.0,2,225.0,False,6900.0,7000.0,1.5,6.2,282.35,True,True,True,False,True,True,True,False,False,False,True,True,False,1.0,True,False,,,,,,,True,241.65,39557045,163695.0,151278,5.5,12.8,33.3,268818,356.2,True,True,False,False,False,True,False,,,,,,False,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,True
Colorado,CO,8,2020-03-11,2021-07-08,,2020-03-23,,,2020-03-12,2020-03-26,,2020-04-27,2020-03-19,,2020-05-01,True,2020-07-16,,False,True,False,2020-04-23,2021-05-15,,,2021-05-15,,False,,,True,2020-03-20,2020-03-20,True,True,2020-03-17,2020-05-27,False,2020-03-17,2020-06-04,2020-03-17,2020-06-18,2020-03-17,2020-06-18,2020-05-01,2020-06-04,2020-05-01,,2020-06-30,2020-06-30,,,,,,2021-04-26,,,,,,,,,,,2021-03-16,1A,1B,1B,1B,1A,1B,1B,1B,1B,2,2,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,2020-12-30,2020-12-30,2020-12-30,2021-03-05,2021-03-05,2021-03-19,2021-03-19,2021-04-02,2021-04-02,2021-04-02,2021-02-08,2021-03-05,2021-04-02,2021-04-02,False,False,False,False,False,False,True,2020-04-30,2020-06-14,2020-10-21,2021-01-01,,,False,2020-04-30,2020-06-14,2020-10-21,2021-01-01,,,,,2020-04-30,2020-06-14,2020-10-21,2021-01-01,2020-05-29,2020-06-14,2020-10-21,2021-01-01,,,,,,,2020-10-15,2020-12-31,2020-05-01,2020-06-14,2020-10-15,2021-04-27,,,,,,2020-04-01,2020-04-23,,,2020-04-10,True,2020-03-26,2020-03-20,False,2020-04-01,2020-03-20,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-11,,2021-05-26,,,False,True,False,False,2020-03-23,2020-04-27,,,,False,2020-03-20 00:00:00.000000000,True,True,True,False,False,False,False,618.0,1218.0,26,26,26,2020-05-31,2020-11-28,2021-02-28,6.5,250.0,197.0,,,,,2500.0,1,0.0,False,13000.0,13600.0,0.58,7.4,371.47,True,False,False,False,False,True,True,False,False,False,False,False,False,3.0,False,False,,,,,,,True,54.72,5695564,104094.0,9619,3.9,9.6,31.3,38526,356.4,True,True,False,False,True,False,False,,2020-03-17,2020-08-24,,,False,11.1,11.1,11.1,11.1,12.0,12.0,12.0,12.0,8.98,12.32,True
Connecticut,CT,9,2020-03-10,,,2020-03-17,,,2020-03-09,,2020-03-23,2020-05-20,2020-03-23,2020-11-02,2020-05-20,False,2020-04-20,,True,False,False,2020-04-03,2021-05-19,,,,,True,,,True,2020-03-19,2020-04-24,True,True,2020-03-16,2020-05-20,True,2020-03-16,2020-06-17,2020-03-16,2020-06-17,2020-03-16,2021-05-19,2020-06-01,2020-05-29,2020-05-20,2021-05-19,,,,,,,,,,,,,,,,2020-06-25,,2021-03-19,2021-02-03,1A,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,2,2021-01-18,2021-01-18,2021-02-11,2021-02-11,2021-03-01,2021-03-01,2021-03-19,2021-03-19,2021-04-01,2021-04-01,2021-03-01,2021-04-05,2021-04-01,2021-04-02,True,False,False,False,False,False,True,2020-03-16,,,,,,True,2020-04-10,,,,2020-03-16,2020-09-14,,,2020-03-19,2021-01-03,,,,,,,2020-09-03,2021-01-03,,,,,2020-09-14,,2020-04-01,2020-05-31,,,2020-03-12,2020-09-30,,2020-03-18,2020-05-02,2020-03-28,2020-04-24,,,2020-04-02,True,2020-03-27,2020-03-19,False,2020-03-19,2020-03-18,False,False,False,True,False,True,True,False,True,False,True,True,2020-03-13,,2020-10-15,,,False,False,True,False,,,,,,True,,False,True,True,False,False,True,False,649.0,1249.0,26,26,26,2020-04-26,,,,,,2020-08-02,2020-12-12,2021-04-04,,600.0,1,0.0,False,15600.0,15000.0,0.5,5.4,289.09,True,True,False,False,True,False,True,False,False,False,True,True,False,1.0,True,False,,,,,,,True,644.54,3572665,5543.0,3033,5.5,10.4,36.0,31230,396.9,True,True,False,False,False,False,True,2020-11-02,,,,,True,10.1,10.1,10.1,11.0,11.0,11.0,12.0,12.0,6.38,12.0,False
Delaware,DE,10,2020-03-13,2021-07-12,,2020-03-16,2020-04-06,2020-06-15,,2020-03-24,,2020-06-01,2020-03-24,2020-12-14,2020-05-08,True,2020-04-28,,True,True,False,2020-05-01,2021-05-21,,,2021-05-21,,False,,,True,2020-03-18,,True,True,2020-03-16,2020-06-01,False,2020-03-19,2020-06-01,2020-03-19,2020-06-01,2020-03-16,2020-06-15,2020-06-08,2020-05-20,2020-05-20,2021-01-08,2020-07-03,,,,,,,2020-09-04,,,,,,,,,2020-03-30,2020-06-01,2021-04-06,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1C,1B,1B,1B,1B,1B,1B,1C,3,2021-01-19,2021-01-19,2021-01-19,2021-01-19,2021-03-17,2021-03-17,2021-03-17,2021-04-06,2021-04-06,2021-04-06,2021-01-19,2021-04-06,2021-04-06,2021-04-06,True,False,False,False,False,False,False,2020-03-17,2020-07-01,,,,,False,2020-03-24,2020-07-01,,,2020-03-17,2020-07-01,,,2020-03-24,2020-07-01,,,,,,,,,,,2020-07-01,,2020-09-11,,2020-03-24,,,,2020-03-24,2020-07-01,,,,2020-03-26,2020-04-30,2021-02-17,,2020-04-13,False,2020-03-27,,True,2020-01-01,2020-03-18,False,False,True,True,False,True,True,False,False,False,False,False,2020-03-12,,2020-09-01,2020-11-11,2021-03-16,False,True,False,False,,,2020-05-20,,,False,1970-01-01 00:00:00.000000001,False,True,False,False,False,True,False,400.0,1000.0,26,26,26,2020-05-24,2021-01-09,,6.4,160.0,178.0,2020-10-11,2020-12-19,,,720.0,1,0.0,False,13800.0,16500.0,0.1,8.0,238.98,True,False,False,False,False,False,False,False,False,False,False,False,True,,True,False,,,,,,,True,388.58,967171,2489.0,921,5.7,12.5,41.3,9433,262.6,True,False,False,False,False,False,True,2020-11-02,2020-03-16,2020-06-01,,,False,8.75,8.75,8.75,9.25,9.25,9.25,9.25,9.25,2.23,9.25,False
District of Columbia,DC,11,2020-03-11,,,2020-03-16,,,,2020-04-01,,2020-05-29,2020-03-25,2020-11-23,2020-05-29,False,2020-07-22,,True,False,False,2020-04-17,2021-05-17,2021-07-31,,,,True,,,True,2020-03-17,2020-03-17,False,True,2020-03-16,2020-05-29,True,2020-03-17,2020-06-22,2020-03-17,2020-06-22,2020-03-16,2020-05-29,2020-05-29,2020-06-22,2020-06-22,2021-05-21,2020-12-23,2020-12-23,,,,2020-12-23,2021-01-22,2021-01-22,,,,,,,,2020-07-27,,2021-05-21,2021-01-11,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1C,1B,1C,1B,1B,1B,1B,1C,2,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-01-25,2021-02-18,2021-04-19,2021-04-19,True,False,False,False,False,False,False,2020-03-15,,,,,,True,2020-05-13,,,,2020-03-15,2020-05-14,,,2020-05-13,,,,,,,,,,,,,,,,2020-05-13,,,,2020-03-27,2021-01-31,,,,2020-04-01,2020-05-19,2021-03-22,,,True,2020-04-03,2020-04-06,False,2020-03-19,2020-03-12,False,False,False,True,False,True,True,False,True,False,False,False,2020-03-15,2020-03-15,2020-10-03,,,True,False,False,False,,,,,,False,2020-03-17 00:00:00.000000000,True,True,False,True,False,False,False,444.0,1044.0,26,26,26,2020-05-24,,,,,,2020-07-05,2021-01-16,2021-04-04,,1950.0,2,650.0,False,11700.0,9000.0,1.6,7.0,348.75,True,False,False,False,True,True,True,False,True,True,True,True,True,,True,False,,,,,,,True,11496.81,702455,61.1,6521,7.5,16.2,31.8,5008,508.6,False,False,False,False,False,True,False,,,,,,False,13.25,13.25,14.0,14.0,14.0,15.0,15.0,15.0,5.0,15.0,False
Florida,FL,12,2020-03-09,2021-06-26,,2020-03-17,,,2020-03-15,2020-04-03,,2020-05-18,2020-04-03,,2020-05-18,True,,,False,False,True,2020-05-11,2021-05-04,,,2021-05-04,,False,2020-09-25,,True,2020-03-20,2020-03-20,True,True,2020-04-03,2020-05-18,False,2020-04-03,2020-05-18,2020-04-03,2020-06-05,2020-03-17,2020-06-05,2020-05-11,,2020-05-18,,2020-06-26,2020-06-26,,,,,,2020-09-14,,,,,,,,2020-03-24,,2020-08-05,2021-03-26,1A,1A,1A,1A,1A,1A,2,2,2,2,2,1A,1A,2,2,2,2,2,2,2,2,2,2020-12-23,2020-12-23,2020-12-23,2020-12-23,2021-03-22,2021-03-22,2021-03-22,2021-03-29,2021-03-29,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,True,False,False,False,True,False,False,2020-04-02,2020-10-01,,,,,False,2020-04-02,2020-07-28,,,,,,,,,,,2020-07-29,2020-10-01,,,2020-04-02,2020-10-01,,,,,,,,,,,,,,,,2020-03-30,2020-05-27,2021-03-01,,,False,2020-03-16,,False,,2020-03-18,True,False,False,True,True,True,True,False,False,False,False,True,2020-03-11,,2020-10-02,,,False,True,False,False,2020-03-20,2020-05-04,,,,False,2020-03-31 00:00:00.000000000,False,True,False,True,False,False,False,275.0,875.0,12,12,19,2020-06-07,2020-11-07,,8.7,290.0,256.0,,,,2021-06-26,3400.0,2,1133.0,False,300.0,7000.0,0.1,5.4,232.04,True,False,False,False,False,False,False,True,True,True,True,True,True,,False,False,,,,,,,False,323.9,21299325,65758.0,28328,5.2,13.6,42.1,205426,160.5,True,True,False,False,False,False,False,2020-10-24,,,,,False,8.46,8.46,8.46,8.46,8.56,8.56,8.56,8.56,5.54,8.65,False
