,0
STATE,object
POSTCODE,object
FIPS,int64
STEMERG,datetime64[ns]
STEMERGEND,datetime64[ns]
STEMERG2,datetime64[ns]
CLSCHOOL,datetime64[ns]
CLDAYCR,datetime64[ns]
OPNCLDCR,datetime64[ns]
CLNURSHM,datetime64[ns]
STAYHOME,datetime64[ns]
STAYHOMENOGP,datetime64[ns]
END_STHM,datetime64[ns]
CLBSNS,datetime64[ns]
CURFEW,datetime64[ns]
END_BSNS,datetime64[ns]
RELIGEX,bool
FM_ALL,datetime64[ns]
FM_ALL2,datetime64[ns]
FMFINE,bool
FMCITE,bool
FMNOENF,bool
FM_EMP,datetime64[ns]
FMENDVAX,datetime64[ns]
FMVAX,datetime64[ns]
FMHIGH,datetime64[ns]
FM_END,datetime64[ns]
FM_END2,datetime64[ns]
FMNOW,bool
FM_STP,datetime64[ns]
FMLOCAL,datetime64[ns]
ALCOPEN,bool
ALCREST,datetime64[ns]
ALCDELIV,datetime64[ns]
GUNOPEN,bool
CANNABIS,bool
CLREST,datetime64[ns]
ENDREST,datetime64[ns]
RSTOUTDR,bool
CLGYM,datetime64[ns]
ENDGYM,datetime64[ns]
CLMOVIE,datetime64[ns]
END_MOV,datetime64[ns]
CLOSEBAR,datetime64[ns]
END_BRS,datetime64[ns]
END_HAIR,datetime64[ns]
END_RELG,datetime64[ns]
ENDRETL,datetime64[ns]
CURFEWEND,datetime64[ns]
BCLBAR2,datetime64[ns]
CLBAR2,datetime64[ns]
CLMV2,datetime64[ns]
CLHAIR2,datetime64[ns]
CLGYM2,datetime64[ns]
CLRST2,datetime64[ns]
ENDREST2,datetime64[ns]
END_BRS2,datetime64[ns]
END_CLGYM2,datetime64[ns]
END_CLHAIR2,datetime64[ns]
END_CLMV2,datetime64[ns]
CLBAR3,datetime64[ns]
CLRST3,datetime64[ns]
END_CLBAR3,datetime64[ns]
END_CLRST3,datetime64[ns]
QRSOMEST,datetime64[ns]
QR_ALLST,datetime64[ns]
QR_END,datetime64[ns]
VAC_PLAN,datetime64[ns]
VAC_HCW,object
VAC_HCS,object
VAC_HHC,object
VAC_AHC,object
VAC_LTC,object
VAC_EMS,object
VAC_FF,object
VAC_LAW,object
VAC_CORR,object
VAC_INC,object
VAC_SHELTER,object
VAC_75,object
VAC_65,object
VAC_HR,object
VAC_K12,object
VAC_HIGHED,object
VAC_PT,object
VAC_FOOD,object
VAC_GROCERY,object
VAC_ESSWORK,object
VAC_ADDWORK,object
VAC_PUB,object
80DATE,datetime64[ns]
75DATE,datetime64[ns]
70DATE,datetime64[ns]
65DATE,datetime64[ns]
60DATE,datetime64[ns]
55DATE,datetime64[ns]
50DATE,datetime64[ns]
45DATE,datetime64[ns]
40DATE,datetime64[ns]
30DATE,datetime64[ns]
K12DATE,datetime64[ns]
GROCERYDATE,datetime64[ns]
INCDATE,datetime64[ns]
PUBDATE,datetime64[ns]
AGEPRIORITY,bool
RACEPRIORITY,bool
PROOFWORK,bool
PROOFAGE,bool
PROOFRES,bool
PENALTY,bool
EXPANDADMIN,bool
EMSTART,datetime64[ns]
EMEND,datetime64[ns]
EMSTART2,datetime64[ns]
EMEND2,datetime64[ns]
EMSTART3,datetime64[ns]
EMEND3,datetime64[ns]
EMNOW,bool
INITIATIONBANSTART,datetime64[ns]
INITIATIONBANEND,datetime64[ns]
INITIATIONBANSTART2,datetime64[ns]
INITIATIONBANEND2,datetime64[ns]
HEARINGBANSTART,datetime64[ns]
HEARINGBANEND,datetime64[ns]
HEARINGBANSTART2,datetime64[ns]
HEARINGBANEND2,datetime64[ns]
ENFORCEBANSTART,datetime64[ns]
ENFORCEBANEND,datetime64[ns]
ENFORCEBANSTART2,datetime64[ns]
ENFORCEBANEND2,datetime64[ns]
C19START,datetime64[ns]
C19END,datetime64[ns]
C19START2,datetime64[ns]
C19END2,datetime64[ns]
PAYSTART,datetime64[ns]
PAYEND,datetime64[ns]
PAYSTART2,datetime64[ns]
PAYEND2,datetime64[ns]
CARESSTART,datetime64[ns]
CARESEND,datetime64[ns]
CDCSTART,datetime64[ns]
CDCEND,datetime64[ns]
LATESTART,datetime64[ns]
LATEEND,datetime64[ns]
LATESTART2,datetime64[ns]
LATEEND2,datetime64[ns]
SMSTART,datetime64[ns]
SMEND,datetime64[ns]
SMSTART2,datetime64[ns]
URSTART,datetime64[ns]
UREND,datetime64[ns]
SNAPALLO,datetime64[ns]
SNAPEBT20,datetime64[ns]
SNAPEBT21,datetime64[ns]
SNAPEBTSUMMER,datetime64[ns]
SNAPSUSP,datetime64[ns]
SNAPTLW,bool
MED1135W,datetime64[ns]
ACAENROL,datetime64[ns]
PREVTLHL,bool
TLHLAUD,datetime64[ns]
TLHLMED,datetime64[ns]
CHIPLKOT,bool
LKOTSUS,bool
TEST,bool
CASE,bool
HOSP,bool
DEATH,bool
VACCINE,bool
TESTAIAN,bool
CASEAIAN,bool
HOSPAIAN,bool
DEATHAIAN,bool
VACCINEAIAN,bool
VISITPER,datetime64[ns]
VISITATT,datetime64[ns]
VISITRES,datetime64[ns]
NOVISIT2,datetime64[ns]
VISITRES2,datetime64[ns]
NOCOPAY,bool
NOPAYCOV,bool
NOPAYALL,bool
YESCOPAY,bool
ELECPRCR,datetime64[ns]
ENDELECP,datetime64[ns]
ELECNOSTART,datetime64[ns]
ELECPRCR2,datetime64[ns]
ENDELECP2,datetime64[ns]
WTPRD,bool
WV_WTPRD,datetime64[ns]
REI_WTPRD,bool
WV_WKSR,bool
REI_WKSR,bool
UIQUAR,bool
UIHIRISK,bool
UICLDCR,bool
UIEXTND,bool
UIMAXAMT,float64
UIMAXEXT,float64
UIMAXDURJAN20,int64
UIMAXDURJUL20,int64
UIMAXDUR21,int64
EBSTART,datetime64[ns]
EBEND,datetime64[ns]
EBSTART2,datetime64[ns]
TUR,float64
TURPRIOR,float64
TURPRIOR2,float64
20EBSTART,datetime64[ns]
20EBEND,datetime64[ns]
20EBSTART2,datetime64[ns]
UIEND,datetime64[ns]
UIMINBP,float64
UIQTRNEED,int64
UIOUTHQBP,float64
UIREQBPL2Q,bool
UIBPEARN300,float64
UITAXWA,float64
UIMINTAXR,float64
UIMAXTAXR,float64
UIAVGBFTAUG,float64
OSHA,bool
STATEDEPT,bool
AEROSOL,bool
VENTILATION,bool
SICKLEAVE19,bool
SICKLEAVE20,bool
RETALIATION,bool
LIABILITY,bool
HCLIABILITY,bool
GOVLIABILITY,bool
WORKERSCOMP,bool
WORKERTYPE,bool
WORKREPORTING,bool
WORKMISSED,float64
WORKINJURY,bool
LMABRN,bool
TLHlBUPR,datetime64[ns]
EXTOPFL,datetime64[ns]
HMDLVOP,datetime64[ns]
TLHLCL24,datetime64[ns]
EXCEMORP,datetime64[ns]
WVDEAREQ,datetime64[ns]
MEDEXP,bool
POPDEN18,float64
POP18,int64
SQML,float64
HMLS19,int64
UNEMP18,float64
POV18,float64
RISKCOV,float64
DEATH18,int64
MH19,float64
CASSTATE,bool
AIANRESN,bool
VBMEXC,bool
VBMSIG,bool
VBMPERM,bool
VBMAUTOBAL,bool
VBMAUTOAP,bool
VBMGENELEC,datetime64[ns]
CASCLOSE,datetime64[ns]
CASOPEN,datetime64[ns]
CASCLOSE2,datetime64[ns]
CASOPEN2,datetime64[ns]
CASTRIBCAS,bool
MINWAGEJAN2019,float64
MINWAGEMAR2019,float64
MINWAGEJUL2019,float64
MINWAGEOCT2019,float64
MINWAGEJAN2020,float64
MINWAGEJUL2020,float64
MINWAGESEP2020,float64
MINWAGEOCT2020,float64
TIPMINWAGE2020,float64
MINWAGE2021,float64
SMALLBUSMINWAGE,bool
